City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Vao,NC,-22.6667,167.4833,76.3,63,38,18.61,scattered clouds
250,Tokat,TR,40.4167,36.5833,43.84,69,100,17.98,overcast clouds
251,Kutum,SD,14.2,24.6667,65.86,13,41,7.54,scattered clouds
252,Aripuana,BR,-9.1667,-60.6333,72.3,98,100,1.81,overcast clouds
253,Lar,IN,26.2039,83.9717,80.4,7,8,1.81,clear sky
254,Half Moon Bay,US,37.4636,-122.4286,55.4,71,1,12.66,clear sky
255,Tazovskiy,RU,67.4667,78.7,31.86,93,100,11.39,overcast clouds
256,Tieli,CN,46.95,128.05,51.84,32,34,13.31,scattered clouds
257,Mount Gambier,AU,-37.8333,140.7667,66.2,52,1,9.22,clear sky
258,Nikolayevsk-Na-Amure,RU,53.1406,140.73,30.54,57,0,7.4,clear sky
259,Tiksi,RU,71.6872,128.8694,-6.29,96,83,2.93,broken clouds
260,Amboasary,MG,-25.0333,46.3833,69.8,94,40,7.25,scattered clouds
261,Tulagi,SB,-9.0996,160.1476,83.79,73,27,8.79,scattered clouds
262,Nome,US,64.5011,-165.4064,5.0,66,1,6.91,clear sky
263,Cintalapa,MX,16.6951,-93.7272,65.71,87,74,6.76,broken clouds
264,Menongue,AO,-14.6585,17.691,58.46,77,39,3.06,scattered clouds
265,Dali,CN,25.7,100.1833,62.47,33,100,4.47,overcast clouds
266,Sayyan,YE,15.1718,44.3244,52.57,26,0,4.83,clear sky
267,Cabedelo,BR,-6.9811,-34.8339,78.8,89,20,4.61,few clouds
268,Chicama,PE,-7.8447,-79.1469,73.87,70,35,2.13,scattered clouds
269,Eskil,TR,38.4017,33.4131,51.96,67,100,15.43,overcast clouds
270,Ola,RU,59.5833,151.2833,20.32,53,100,5.77,overcast clouds
271,Ternate,ID,0.8,127.4,84.33,65,33,6.26,scattered clouds
272,Kendari,ID,-3.945,122.4989,84.99,73,100,1.14,overcast clouds
273,Chirala,IN,15.8167,80.35,83.48,74,98,8.66,overcast clouds
274,Kargasok,RU,59.0556,80.8572,30.87,82,100,10.02,overcast clouds
275,Huangchuan,CN,32.1272,115.0394,51.58,64,100,8.79,overcast clouds
276,Hirado,JP,33.3597,129.5531,60.8,48,75,16.11,broken clouds
277,Selty,RU,57.3132,52.1345,25.9,97,77,5.5,broken clouds
278,Komsomolskiy,UZ,40.4272,71.7189,48.2,81,40,4.61,scattered clouds
279,Port Augusta,AU,-32.5,137.7667,87.01,60,0,11.5,clear sky
280,Gewane,ET,10.1664,40.6453,76.68,41,10,4.94,clear sky
281,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.44,98,100,2.35,moderate rain
282,Colesberg,ZA,-30.72,25.0972,62.73,38,0,5.86,clear sky
283,Kanniyakumari,IN,8.0833,77.5667,80.2,74,80,13.58,broken clouds
284,Deputatskiy,RU,69.3,139.9,0.03,89,100,3.83,overcast clouds
285,Noumea,NC,-22.2763,166.4572,86.0,42,0,9.22,clear sky
286,Sydney,AU,-33.8679,151.2073,80.01,78,20,14.97,few clouds
287,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,6.91,clear sky
288,Nioro,GM,13.35,-15.75,76.95,50,93,6.55,overcast clouds
289,Tiznit,MA,29.5833,-9.5,54.88,85,65,3.13,broken clouds
290,Muzhi,RU,65.3667,64.6667,25.97,95,100,4.83,overcast clouds
291,Ushtobe,KZ,45.2514,77.9838,50.63,79,100,15.37,overcast clouds
292,Hoyanger,NO,61.2204,6.0749,24.01,91,99,7.0,overcast clouds
293,Souillac,MU,-20.5167,57.5167,80.01,77,9,5.99,clear sky
294,Tshikapa,CD,-6.4167,20.8,69.87,95,100,1.86,overcast clouds
295,Lavrentiya,RU,65.5833,-171.0,5.02,74,17,2.53,few clouds
296,Gazojak,TM,41.1875,61.4036,48.9,54,5,7.14,clear sky
297,Namatanai,PG,-3.6667,152.4333,84.18,70,82,1.12,light rain
298,Andenes,NO,69.3143,16.1194,32.0,74,66,17.27,broken clouds
299,Hohhot,CN,40.8106,111.6522,42.8,81,40,6.71,light rain
300,Kavieng,PG,-2.5744,150.7967,83.05,70,98,3.4,overcast clouds
301,Fernie,CA,49.5,-115.0687,37.4,87,100,5.75,overcast clouds
302,Japura,ID,-0.3167,102.35,83.48,68,100,3.53,overcast clouds
303,Baruun-Urt,MN,46.6806,113.2792,44.6,35,0,8.86,clear sky
304,Asyut,EG,27.181,31.1837,55.4,50,0,9.22,clear sky
305,Yumen,CN,40.2833,97.2,44.04,48,100,3.49,overcast clouds
306,Griffith,US,41.5284,-87.4237,66.2,48,1,6.91,clear sky
307,Port Keats,AU,-14.25,129.55,87.64,48,59,10.04,broken clouds
308,Kyzyl-Suu,KG,42.3414,78.0056,37.65,84,100,1.97,overcast clouds
309,Bonfim,BR,3.0833,-59.95,79.72,77,100,7.54,light rain
310,Vieques,PR,18.425,-65.8329,80.6,69,40,3.44,scattered clouds
311,Richards Bay,ZA,-28.783,32.0377,62.98,86,0,4.0,clear sky
312,Port Hardy,CA,50.6996,-127.4199,44.6,61,20,11.5,few clouds
313,Jalalabad,AF,34.4265,70.4515,59.92,66,15,1.3,few clouds
314,Grand Gaube,MU,-20.0064,57.6608,80.01,77,8,5.99,clear sky
315,Nioki,CD,-2.7167,17.6833,71.55,98,100,2.42,overcast clouds
316,Marquette,US,46.5333,-87.6335,50.0,37,90,11.5,overcast clouds
317,Bougouni,ML,11.417,-7.479,82.8,17,91,4.21,overcast clouds
318,Lerwick,GB,60.1545,-1.1494,28.4,86,75,32.21,light snow
319,Solnechnyy,RU,50.7214,136.6319,40.08,37,14,3.94,few clouds
320,Biak,ID,-0.9131,122.8766,85.91,62,100,1.39,overcast clouds
321,Comodoro Rivadavia,AR,-45.8667,-67.5,66.2,52,0,2.3,clear sky
322,Nizwa,OM,22.9333,57.5333,75.58,27,67,0.92,broken clouds
323,Coracao De Jesus,BR,-16.6853,-44.365,67.42,91,100,6.91,overcast clouds
324,Luderitz,NA,-26.6481,15.1594,67.87,70,35,16.46,scattered clouds
325,Natitingou,BJ,10.3042,1.3796,80.22,15,1,5.35,clear sky
326,Morondava,MG,-20.2833,44.2833,74.62,84,49,8.48,scattered clouds
327,Arlit,NE,18.7369,7.3853,74.86,9,0,8.25,clear sky
328,Zima,RU,53.9202,102.0442,32.36,95,93,0.07,overcast clouds
329,Ancud,CL,-41.8697,-73.8203,55.99,90,100,11.99,overcast clouds
330,Sakaiminato,JP,35.55,133.2333,53.6,50,75,17.27,broken clouds
331,Seryshevo,RU,51.0933,128.3786,35.38,93,100,11.86,overcast clouds
332,Shieli,KZ,44.1667,66.75,46.0,68,97,14.99,overcast clouds
